"year","co2_emission"
1970,0.311951858
1971,0.330621467
1972,0.358007991
1973,0.395470253
1974,0.402156671
1975,0.412805028
1976,0.461238965
1977,0.600297761
1978,0.66778019
1979,0.660145704
1980,0.642649545
1981,0.663407124
1982,0.682224213
1983,0.664097632
1984,0.694402068
1985,0.734768041
1986,0.722917275
1987,0.718414523
1988,0.755209458
1989,0.734806355
1990,0.824341653
1991,0.973538
1992,1.078874707
1993,1.145229554
1994,1.141628552
1995,1.14207743
1996,1.266992998
1997,1.373878882
1998,1.021851684
1999,1.159992484
2000,1.245241613
2001,1.374818345
2002,1.410233797
2003,1.436404464
2004,1.509898209
2005,1.508480596
2006,1.50157677
2007,1.611855395
2008,1.763895139
2009,1.865165403
2010,1.767907879
2011,2.333585374
2012,2.408920148
